[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
14.6G 5580k  865M  153M|100   0   0   0   0   0| 660k  128k
14.6G 5588k  865M  153M|100   0   0   0   0   0|  44k   32k
14.6G 5616k  869M  149M| 93   0   7   0   0   0|3760k    0 
14.6G 5616k  869M  149M|100   0   0   0   0   0|  32k    0 
14.6G 5616k  869M  149M|100   0   0   0   0   0|  52k    0 
14.6G 5616k  869M  149M| 94   0   6   0   0   0| 204k    0 
14.6G 5624k  869M  148M|100   0   0   0   0   0|  44k  120k
14.6G 5624k  869M  148M|100   0   0   0   0   0|  44k    0 
14.6G 5624k  869M  148M| 94   0   6   0   0   0| 276k    0 
14.6G 5624k  869M  148M|100   0   0   0   0   0|  28k    0 
14.6G 5624k  869M  148M| 94   0   6   0   0   0|  32k    0 
14.6G 5632k  869M  148M|100   0   0   0   0   0| 136k  132k
14.6G 5632k  869M  148M| 93   0   7   0   0   0|  56k    0 
14.6G 5632k  867M  156M| 99   1   0   0   0   0|  38M 6580k
14.6G 5632k  868M  157M| 94   0   6   0   0   0|  30M 1976k
14.6G 5632k  872M  157M| 94   0   6   0   0   0|  31M 3044k
14.6G 5640k  864M  170M| 99   0   0   0   0   0|  36M 6888k
14.6G 5640k  882M  152M| 93   0   6   0   0   0|  38M    0 
14.6G 5640k  884M  159M| 92   1   7   0   0   0|  80M 8068k
14.6G 5640k  897M  153M| 99   1   0   0   0   0| 105M   10M
14.5G 5640k  899M  167M| 92   1   7   0   0   0| 136M   15M
14.5G 5648k  923M  157M| 92   2   6   0   0   0| 158M   12M
14.5G 5648k  917M  178M| 93   1   6   0   0   0| 125M   17M
14.5G 5648k  946M  161M| 99   1   0   0   0   0| 140M 9280k
14.5G 5648k  942M  178M| 93   1   6   0   0   0| 118M   16M
14.5G 5648k  957M  175M| 93   1   6   0   0   0| 130M   11M
14.5G 5656k  983M  155M| 99   1   0   0   0   0| 110M 5496k
14.5G 5656k  973M  179M| 92   1   6   0   0   0|  97M   14M
14.4G 5656k 1001M  161M| 97   1   2   0   0   0| 142M 9640k
14.4G 5656k 1007M  168M| 95   1   4   0   0   0| 133M   14M
14.4G 5656k 1028M  156M| 99   1   0   0   0   0| 107M 6640k
14.4G 5672k 1013M  182M| 93   1   6   0   0   0|  89M   15M
14.4G 5672k 1034M  168M| 99   1   0   0   0   0| 105M 6176k
14.4G 5672k 1042M  166M| 92   1   6   0   0   0|  77M 8132k
14.4G 5672k 1048M  169M| 99   1   0   0   0   0| 107M   10M
14.4G 5672k 1064M  161M| 93   1   6   0   0   0|  94M 7280k
14.4G 5680k 1077M  154M| 99   1   0   0   0   0|  90M 7228k
14.4G 5680k 1077M  158M| 93   0   7   0   0   0|  30M 3668k
